Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2016/10/18, 11:02:09, 34.665501, 135.210403, -124.10,  1656.00, 0, -2, 0.00, 1
2016/10/18, 11:07:30, 34.665501, 135.210403, -124.10,  0.00, 0, 0, 0.00, 1
2016/10/18, 11:08:41, 34.664555, 135.206284, -296.32,  0.00, 254, 0, 391.12, 1
2016/10/18, 11:11:09, 34.666111, 135.213089, 18.38,  360.00, 74, -4, 645.96, 1
2016/10/18, 11:15:24, 34.666111, 135.213089, 18.38,  360.00, 0, -2, 0.00, 1
2016/10/18, 11:16:53, 34.666088, 135.213165, 5.26,  684.00, 110, 0, 7.41, 1
2016/10/18, 11:18:26, 34.666271, 135.213654, 56.72,  1404.00, 65, 0, 49.13, 1
2016/10/18, 11:19:57, 34.665886, 135.212906, -17.29,  1908.00, 237, 0, 80.70, 1
2016/10/18, 11:22:07, 34.665501, 135.212997, -15.19,  0.00, 168, -4, 43.61, 1
2016/10/18, 12:35:55, 34.665501, 135.212997, -15.19,  0.00, 0, -2, 0.00, 1
2016/10/18, 12:46:33, 34.664433, 135.211731, -234.30,  0.00, 224, 0, 165.86, 1
2016/10/18, 13:19:15, 34.666027, 135.213501, 79.61,  540.00, 42, 0, 240.04, 1
2016/10/18, 13:38:56, 34.665936, 135.214127, 124.46,  864.00, 100, 0, 58.14, 1
2016/10/18, 13:47:46, 34.665237, 135.215530, 299.32,  2592.00, 121, 0, 150.02, 1
2016/10/18, 15:44:17, 34.665237, 135.215530, 299.32,  2592.00, 0, 0, 0.00, 1
2016/10/18, 15:49:08, 34.666496, 135.212708, 40.83,  1260.00, 298, 0, 293.61, 1
2016/10/18, 15:51:42, 34.666512, 135.209747, 512.13,  9576.00, 270, 0, 270.80, 1
2016/10/18, 16:06:14, 34.666512, 135.209747, 512.13,  9576.00, 0, 0, 0.00, 1
2016/10/18, 16:08:14, 34.666672, 135.213394, 498.96,  5472.00, 86, 0, 334.01, 1
2016/10/18, 17:21:08, 34.666672, 135.213394, 498.96,  5472.00, 0, 0, 0.00, 1
2016/10/18, 17:26:29, 34.666126, 135.212784, 75.19,  612.00, 222, 0, 82.45, 1
2016/10/18, 17:29:51, 34.666336, 135.212433, 98.27,  1260.00, 306, 0, 39.70, 1
2016/10/18, 17:35:56, 34.665760, 135.213257, 33.19,  0.00, 130, 0, 98.90, 1
2016/10/18, 17:37:01, 34.665283, 135.212189, -11.08,  6696.00, 241, 0, 111.15, 1
2016/10/18, 17:38:12, 34.665283, 135.212189, -11.08,  6696.00, 0, 0, 0.00, 1
2016/10/18, 17:39:15, 34.665035, 135.212524, 7.19,  1296.00, 131, 0, 41.22, 1
2016/10/18, 17:40:19, 34.664543, 135.212402, 43.13,  7668.00, 191, 0, 55.83, 1
2016/10/18, 17:41:26, 34.667427, 135.210800, 36.71,  55404.00, 335, 0, 352.57, 1
2016/10/18, 17:42:55, 34.670158, 135.209686, 15.04,  32507.00, 341, 0, 320.31, 1
2016/10/18, 17:44:21, 34.673935, 135.207062, 15.16,  26424.00, 330, 0, 483.70, 1
2016/10/18, 17:45:29, 34.679783, 135.202805, 26.40,  38268.00, 329, 0, 757.88, 1
2016/10/18, 17:46:32, 34.681557, 135.201889, 50.48,  22536.00, 336, 0, 214.31, 1
2016/10/18, 17:47:56, 34.686710, 135.199982, 49.17,  21780.00, 343, 0, 598.93, 1
2016/10/18, 17:49:42, 34.689190, 135.199448, 10.97,  3672.00, 349, 0, 280.05, 1
2016/10/18, 17:51:38, 34.688801, 135.200302, 49.39,  5112.00, 118, 0, 89.26, 1
2016/10/18, 17:53:31, 34.690704, 135.199738, 76.07,  14076.00, 346, 0, 217.80, 1
2016/10/18, 17:54:53, 34.691044, 135.199860, 24.74,  2448.00, 16, 0, 39.42, 1
2016/10/18, 17:56:14, 34.690987, 135.200165, 81.72,  5256.00, 102, 0, 28.60, 1
2016/10/18, 17:57:31, 34.691269, 135.200180, 20.76,  7992.00, 2, 0, 31.39, 1
2016/10/18, 18:00:00, 34.688580, 135.198364, 139.47,  0.00, 209, 0, 342.01, 1
2016/10/18, 18:11:19, 34.688580, 135.198364, 139.47,  0.00, 0, 0, 0.00, 1
2016/10/18, 18:12:48, 34.691757, 135.200470, 5.54,  720.00, 28, 0, 402.33, 1
2016/10/18, 18:14:14, 34.691608, 135.199921, 41.25,  3024.00, 251, 0, 52.86, 1
2016/10/18, 18:16:29, 34.691334, 135.199051, 25.25,  720.00, 249, 0, 85.18, 1
2016/10/18, 19:35:36, 34.691334, 135.199951, 319.80,  2844.00, 89, 0, 82.29, 1
2016/10/18, 19:38:15, 34.691334, 135.199951, 319.80,  2844.00, 0, 0, 0.00, 1
2016/10/18, 19:44:34, 34.692192, 135.192368, 435.06,  7488.00, 277, 0, 699.83, 1
2016/10/18, 19:54:25, 34.691132, 135.199890, 9.28,  9828.00, 99, 0, 697.74, 1
2016/10/18, 20:07:22, 34.691185, 135.196838, 234.48,  3420.00, 271, 0, 279.10, 1
2016/10/18, 20:10:58, 34.691498, 135.197021, 253.96,  2412.00, 25, -4, 38.62, 1
2016/10/19, 06:29:41, 34.693432, 135.200302, 569.93,  2412.00, 0, -2, 0.00, 1
2016/10/19, 07:19:49, 34.693432, 135.200302, 569.93,  0.00, 0, 0, 0.00, 1
