lat,long,label
35,135.685,松尾大社
33.6659,135.335,三段壁
33.83,135.777,備宿
34.071,134.557,徳島地方裁判所
34.0741,134.528,佐古配水場ポンプ場
34.0746,134.573,徳島県立徳島商業高等学校
34.1022,134.553,四国大学短期大学部
34.1652,134.822,南あわじ市立沼島小学校
34.1727,134.595,徳島県立鳴門第一高等学校
34.2147,135.182,三菱電機冷熱システム製作所
34.4667,135.817,奈良県立万葉文化館
34.4727,135.572,国立病院機構大阪南医療センター
34.4728,135.401,マルフク (貸金業)
34.4733,135.821,板蓋宮
34.4772,135.817,奈良県立万葉文化館
34.4824,135.581,大阪大谷大学
34.4834,135.534,プール学院大学
34.4911,135.44,信太山駐屯地
34.5019,135.586,大平和祈念塔
34.5186,135.744,オークタウン大和高田
34.5536,135.609,古市駅 (大阪府)
34.5589,135.484,堺市博物館
34.5778,135.58,吉村家住宅
34.5909,135.711,西和警察署
34.5974,135.583,八尾南駅
34.6012,135.59,八尾市立図書館
34.6012,135.6,八尾市立図書館
34.6012,135.608,八尾市立図書館
34.6041,135.444,堺市立サッカー・ナショナルトレーニングセンター
34.6041,135.501,大阪市立住吉図書館
34.6082,135.531,大阪芸術大学短期大学部
34.6089,135.003,松帆崎
34.6121,135.59,八尾市立図書館
34.6121,135.6,八尾市立図書館
34.6121,135.608,八尾市立図書館
34.6124,135.494,住吉大社
34.6263,135.59,八尾市立図書館
34.6263,135.6,八尾市立図書館
34.6263,135.608,八尾市立図書館
34.628,135.62,河内山本駅
34.628,135.59,八尾市立図書館
34.628,135.6,八尾市立図書館
34.628,135.608,八尾市立図書館
34.6292,135.063,東垂水駅
34.6295,135.054,垂水駅
34.6328,135.224,神戸空港
34.6336,135.083,塩屋駅 (兵庫県)
34.6338,135.603,大阪経済法科大学
34.6372,135.418,大阪国際見本市会場
34.6379,135.414,大幸工業株式会社スペシャルチャレンジ
34.6381,135.538,東部市場前駅
34.6404,135.603,大阪経済法科大学
34.6422,134.99,旧波門崎燈籠堂
34.6423,135.053,神戸朝鮮高級学校
34.6432,135.122,和田岬灯台
34.6443,135.514,あべのand
34.6444,135.018,朝霧駅
34.6459,135.113,須磨浦小学校
34.6487,134.993,山陽明石駅
34.6494,135.001,明石市立天文科学館
34.6494,134.997,神戸大学附属明石小学校
34.6509,135.472,大阪市立大正図書館
34.6521,135.15,駒ヶ林駅
34.6527,135.512,一心寺シアター倶楽
34.6542,134.994,兵庫県立図書館
34.6546,135.165,御崎公園駅
